ID	Score
GSM5374850	-0.648543802
GSM5374851	-1.812298465
GSM5374852	-0.643762613
GSM5374853	-0.721783348
GSM5374854	-0.00357232
GSM5374855	-2.466807568
GSM5374856	-1.184140105
GSM5374857	-1.058631985
GSM5374858	-1.32118149
GSM5374859	-1.28511792
GSM5374860	-1.160837385
GSM5374861	-2.428514646
GSM5374862	-1.479947017
GSM5374863	-2.565177772
GSM5374864	-1.626315087
GSM5374865	-1.440906194
GSM5374866	-2.137862063
GSM5374867	-1.242575784
GSM5374839	-0.500047862
GSM5374840	-0.556402773
GSM5374841	-1.112381503
GSM5374842	-0.9310231
GSM5374843	-1.287391688
GSM5374844	-0.662882266
GSM5374845	0.169667402
GSM5374846	-0.19680785
GSM5374847	-1.52943342
GSM5374848	-1.289607367
GSM5374849	-1.170031174
