ID	Score
C1	-5.813206209
C10	-5.951247105
C11	-4.726787549
C12	-5.749035504
C13	-5.986832219
C14	-5.063061197
C15	-3.550965831
C16	-5.838118088
C17	-3.025526709
C18	-5.457650229
C19	-5.29573334
C20	-3.963022952
C21	-4.210371259
C22	-4.032230894
C23	-5.174198182
C24	-3.341602474
C25	-4.608027165
C26	-4.368859473
C27	-5.08231081
C6	-2.680427658
C7	-3.378515024
C8	-4.501443915
C9	-5.264106497
P1	-0.675564847
P10	-2.149971141
P11	-2.446349456
P12	-4.687536828
P13	-1.620343839
P14	-2.591031776
P15	-2.898098734
P16	-3.047530808
P17	-3.231404992
P18	-2.483968003
P19	-1.117939208
P2	-4.839151684
P20	-4.884658796
P21	-3.43610455
P22	-6.020476358
P23	-4.984508346
P24	-4.456345646
P25	-4.195747658
P26	-4.43016669
P27	-3.195095997
P28	-3.08655112
P29	-5.063471417
P3	-4.195161078
P30	-5.42132698
P31	-1.958275174
P32	-1.988473097
P33	-3.85842961
P34	0.999080636
P35	-3.616033565
P36	-4.888472619
P37	0.179903403
P38	-0.360589956
P39	-3.098064923
P4	-4.997574401
P40	-0.000797558
P41	-2.266466834
P42	-3.053732033
P43	-3.611556616
P44	-3.418055959
P46	-0.520416669
P47	-3.796610885
P5	-1.158807264
P6	-1.460501882
P7	-2.911441709
P8	-3.602482888
P9	-1.739086144
