s0
(Intercept),-1.78427116688973
FAM110C|SLC4A10,0
FAM110C|WNT7A,-0.456468152827521
FCER1A|GPR174,0
FCER1A|IDO1,0
FCER1A|IL5RA,0
FCER1A|KLRC2,0
FCER1A|KLRC3,0
FCER1A|MMP8,0
FCER1A|MYBL1,0
FCER1A|NELL2,0
FCER1A|PCOLCE2,0
FCER1A|RORA,0
FCER1A|TBC1D4,0
FCER1A|TKTL1,0
FCER1A|ZNF683,0
FGFR2|GRAPL,0
FGFR2|HLF,0.331682617840407
FGFR2|ISM1,0
FGFR2|KIAA1671,0
FGFR2|KIF19,0
FGFR2|LRRN3,0
FGFR2|MS4A2,0
FGFR2|MTUS1,0
FGFR2|NEFL,0
FGFR2|NTN4,0
FGFR2|OLFM1,0
FGFR2|PCOLCE2,0
FGFR2|PLXDC1,0
FGFR2|PRSS33,0
FGFR2|SIGLEC8,0
FGFR2|SLC4A10,0
FGFR2|WNT7A,0
GPR174|IDO1,-0.493060131413154
GPR174|IL5RA,0
GPR174|KLRC2,0
GPR174|KLRC3,0
GPR174|MYBL1,0
GPR174|NELL2,0
GPR174|PCOLCE2,-0.363578271966145
GPR174|PID1,0
GPR174|PRSS33,0
GPR174|TBC1D4,0
GPR174|TKTL1,0
GPR174|ZNF683,0
GRAPL|HLF,0
GRAPL|ISM1,0
GRAPL|KIAA1671,0
GRAPL|KIF19,0
GRAPL|LRRN3,0
GRAPL|MS4A2,0
GRAPL|MTUS1,-1.61956845628644
GRAPL|NEFL,0
GRAPL|NTN4,0
GRAPL|OLFM1,0
GRAPL|PCOLCE2,0
GRAPL|PLD4,0
GRAPL|PLXDC1,0
GRAPL|PRSS33,0
GRAPL|SIGLEC8,0
GRAPL|SLC4A10,0
GRAPL|TTC24,0
GRAPL|WNT7A,0
HLA.DQA1|MMP8,0
HLF|ISM1,0
HLF|KIF19,0
HLF|NTN4,0.138758486283565
HLF|OLFM1,-0.791514651182182
HLF|PRSS33,0
HLF|SIGLEC8,0
HLF|SLC4A10,0
HLF|WNT7A,0
IDO1|IL5RA,0
IDO1|KLRC2,0
IDO1|KLRC3,0
IDO1|MYBL1,0
IDO1|NELL2,0
IDO1|PCOLCE2,0
IDO1|PID1,0
IDO1|PLD4,0
IDO1|PRSS33,0
IDO1|RORA,0
IDO1|TBC1D4,0
IDO1|TKTL1,0
IDO1|ZNF683,0
IL5RA|KLRC2,0
IL5RA|KLRC3,0
IL5RA|LRRN3,0
IL5RA|MS4A2,0
IL5RA|MYBL1,0
IL5RA|NEFL,0
IL5RA|NELL2,0
IL5RA|PCOLCE2,-1.24537815887931
IL5RA|PID1,0.195675966927242
IL5RA|PLD4,0
IL5RA|PLXDC1,0
IL5RA|PRSS33,0
IL5RA|RORA,0
IL5RA|TBC1D4,1.12519035833879
IL5RA|TKTL1,0
IL5RA|TTC24,0
IL5RA|ZNF683,0
ISM1|KIAA1671,0
ISM1|KIF19,0
ISM1|NTN4,0.086585147783138
ISM1|OLFM1,0
ISM1|PRSS33,0
ISM1|SIGLEC8,0.420779361517513
ISM1|SLC4A10,0
ISM1|WNT7A,0
KIAA1671|KIF19,0
KIAA1671|LRRN3,0
KIAA1671|MS4A2,0
KIAA1671|MTUS1,0
KIAA1671|NEFL,0
KIAA1671|NTN4,0
KIAA1671|OLFM1,0
KIAA1671|PCOLCE2,0
KIAA1671|PLXDC1,0
KIAA1671|PRSS33,0
KIAA1671|SIGLEC8,0
KIAA1671|SLC4A10,0
KIAA1671|TTC24,0
KIAA1671|WNT7A,0.565028715628751
KIF19|LRRN3,0
KIF19|MS4A2,0
KIF19|MTUS1,0
KIF19|NEFL,0
KIF19|NTN4,0
KIF19|OLFM1,0
KIF19|PRSS33,0
KIF19|SIGLEC8,0
KIF19|SLC4A10,0
KIF19|WNT7A,0
KLRC2|KLRC3,0
KLRC2|MYBL1,0
KLRC2|NELL2,0
KLRC2|PCOLCE2,0
KLRC2|PID1,0
KLRC2|PLD4,0
KLRC2|PRSS33,0.387849370536297
KLRC2|RORA,0
KLRC2|TBC1D4,0
KLRC2|TKTL1,0
KLRC2|ZNF683,0
KLRC3|MYBL1,0
KLRC3|NELL2,0
KLRC3|PCOLCE2,-0.0870636036255731
KLRC3|PID1,0
KLRC3|PRSS33,0
KLRC3|RORA,0
KLRC3|TBC1D4,0
KLRC3|TKTL1,0
LRRN3|MS4A2,0
LRRN3|MTUS1,0
LRRN3|NEFL,-0.157211093801086
LRRN3|OLFM1,0
LRRN3|PCOLCE2,0
LRRN3|PID1,0
LRRN3|PLD4,0
LRRN3|PLXDC1,-0.106681426204962
LRRN3|PRSS33,0
LRRN3|SIGLEC8,0
LRRN3|SLC4A10,0
LRRN3|TTC24,0
LRRN3|ZNF683,0
MS4A2|MTUS1,0
MS4A2|NEFL,-0.0732395460824676
MS4A2|OLFM1,0
MS4A2|PCOLCE2,0
MS4A2|PID1,0
MS4A2|PLD4,0
MS4A2|PLXDC1,0
MS4A2|PRSS33,0
MS4A2|SIGLEC8,0
MS4A2|SLC4A10,0
MS4A2|TTC24,0
MS4A2|ZNF683,0
MTUS1|NEFL,0
MTUS1|NTN4,0
MTUS1|OLFM1,0
MTUS1|PCOLCE2,0
MTUS1|PLD4,0
MTUS1|PLXDC1,0
MTUS1|PRSS33,0
MTUS1|SIGLEC8,0
MTUS1|SLC4A10,0
MTUS1|TTC24,0
MTUS1|ZNF683,0
MYBL1|NELL2,0
MYBL1|PCOLCE2,0
MYBL1|PID1,0
MYBL1|PLD4,0
MYBL1|PRSS33,0
MYBL1|RORA,0
MYBL1|SIGLEC8,0
MYBL1|TBC1D4,0
MYBL1|TKTL1,0
MYBL1|ZNF683,0
NEFL|NTN4,0
NEFL|OLFM1,0
NEFL|PCOLCE2,0
NEFL|PLD4,0
NEFL|PLXDC1,0
NEFL|PRSS33,0
NEFL|SIGLEC8,0.0182524997918554
NEFL|SLC4A10,0.196670375827819
NEFL|TTC24,0
NEFL|ZNF683,0
NELL2|PCOLCE2,0
NELL2|PID1,0
NELL2|PRSS33,0
NELL2|RORA,0
NELL2|TBC1D4,0
NELL2|TKTL1,0
NELL2|ZNF683,0
NTN4|OLFM1,0
NTN4|PRSS33,0
NTN4|SIGLEC8,0
NTN4|SLC4A10,0
NTN4|WNT7A,0
OLFM1|PCOLCE2,0
OLFM1|PLD4,0
OLFM1|PLXDC1,0
OLFM1|PRSS33,0
OLFM1|SIGLEC8,0
OLFM1|SLC4A10,0
OLFM1|TTC24,0
OLFM1|WNT7A,0
OLFM1|ZNF683,0
PCOLCE2|PID1,0.149367498663108
PCOLCE2|PLD4,0
PCOLCE2|PLXDC1,0
PCOLCE2|PRSS33,0
PCOLCE2|RORA,0
PCOLCE2|SIGLEC8,0.954017453634209
PCOLCE2|SLC4A10,0
PCOLCE2|TBC1D4,0
PCOLCE2|TKTL1,0
PCOLCE2|TTC24,0
PCOLCE2|ZNF683,0
PID1|PLD4,0
PID1|PLXDC1,0
PID1|PRSS33,0
PID1|RORA,0
PID1|SIGLEC8,0
PID1|TBC1D4,0
PID1|TKTL1,0
PID1|TTC24,0
PID1|ZNF683,0
PLD4|PLXDC1,0
PLD4|PRSS33,0
PLD4|RORA,0
PLD4|SIGLEC8,0
PLD4|TKTL1,0
PLD4|TTC24,0
PLD4|ZNF683,0
PLXDC1|PRSS33,0
PLXDC1|SIGLEC8,0
PLXDC1|TTC24,0
PLXDC1|ZNF683,-0.0825265526962005
PRSS33|RORA,0
PRSS33|SIGLEC8,0
PRSS33|SLC4A10,0
PRSS33|TBC1D4,0
PRSS33|TKTL1,0
PRSS33|TTC24,0
PRSS33|WNT7A,0
PRSS33|ZNF683,0
RORA|SIGLEC8,0
RORA|TBC1D4,0
RORA|TKTL1,0
RORA|ZNF683,0
SIGLEC8|SLC4A10,0
SIGLEC8|TKTL1,0
SIGLEC8|TTC24,0
SIGLEC8|WNT7A,0
SIGLEC8|ZNF683,0
SLC4A10|WNT7A,0
TBC1D4|TKTL1,0
TBC1D4|ZNF683,0
TKTL1|ZNF683,0
TTC24|ZNF683,0
